Year,CAN,USA,MEX,BHS,CUB,JAM,HTI,DOM,PRI,BLZ,GTM,SLV,HND,CRI,NIC,PAN,BRA,ARG,COL,PER,VEN,CHL,ECU,BOL,PRY,URY,GUY,SUR,GUF
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,42,34,0,5,0,3,2,4,0,4,1,0,0,0,0,35,2,4,1,0,2,3,1,0,0,0,0,0
2015,2,29,20,0,4,0,6,2,2,0,1,0,0,0,0,0,43,3,5,3,0,3,2,1,0,0,0,0,0
2016,3,29,32,0,2,0,3,4,4,1,1,0,0,1,0,0,40,2,7,1,0,6,1,1,0,1,0,0,0
2017,1,40,44,0,1,0,4,5,4,0,3,0,0,0,0,0,35,5,6,5,3,3,0,2,0,0,0,0,0
2018,5,41,27,0,3,0,2,2,5,0,3,0,0,1,0,0,52,5,5,1,1,2,3,2,1,0,0,0,0
2019,0,56,29,0,4,0,2,5,4,0,2,0,0,0,0,0,53,4,4,5,1,6,3,4,0,0,0,0,1
2020,3,58,46,0,6,2,10,5,4,0,5,2,1,1,0,0,67,4,11,3,1,5,4,4,0,0,0,0,0
2021,0,72,34,0,3,0,6,1,3,0,0,0,1,1,0,0,94,3,12,5,1,7,3,2,1,3,0,0,1
2022,1,67,21,0,1,0,5,0,1,0,0,0,0,0,0,0,79,2,6,1,0,3,4,0,1,0,0,0,0
2023,3,62,17,0,2,1,8,3,2,0,1,0,0,0,0,0,69,2,5,2,1,3,1,0,0,0,0,0,0
2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
